Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1704304343.149091,6560,0,1
1,NewOrder,1704304343.155674,7082,0,1
2,Payment,1704304343.162794,4581,0,1
2,Payment,1704304343.167398,3054,0,1
2,Payment,1704304343.170473,3281,0,1
5,StockLevel,1704304343.173791,1138,0,1
1,NewOrder,1704304343.174942,37451,0,1
1,NewOrder,1704304343.212749,3811,0,1
1,NewOrder,1704304343.216579,7115,0,1
2,Payment,1704304343.223721,3325,0,1
2,Payment,1704304343.227069,3652,0,1
1,NewOrder,1704304343.230746,6106,0,1
1,NewOrder,1704304343.236878,9079,0,1
1,NewOrder,1704304343.245982,28739,0,1
1,NewOrder,1704304343.274759,39402,0,1
1,NewOrder,1704304343.314186,38471,0,1
5,StockLevel,1704304343.352681,2645,0,1
4,Delivery,1704304343.355343,55774,0,1
2,Payment,1704304343.411141,13473,0,1
1,NewOrder,1704304343.424638,37969,0,1
1,NewOrder,1704304343.462634,38635,0,1
1,NewOrder,1704304343.501297,45392,0,1
4,Delivery,1704304343.546717,100575,0,1
2,Payment,1704304343.647320,7869,0,1
1,NewOrder,1704304343.655210,28478,0,1
1,NewOrder,1704304343.683713,38698,0,1
1,NewOrder,1704304343.722716,27171,0,1
1,NewOrder,1704304343.749912,22014,0,1
1,NewOrder,1704304343.771949,27871,0,1
2,Payment,1704304343.799845,3476,0,1
1,NewOrder,1704304343.803341,23881,0,1
2,Payment,1704304343.827246,3642,0,1
2,Payment,1704304343.830910,3770,0,1
2,Payment,1704304343.834702,3103,0,1
2,Payment,1704304343.837962,3874,0,1
1,NewOrder,1704304343.841858,5830,0,1
4,Delivery,1704304343.847712,30085,0,1
4,Delivery,1704304343.877822,27015,0,1
1,NewOrder,1704304343.904861,28872,0,1
5,StockLevel,1704304343.933758,1441,0,1
4,Delivery,1704304343.935216,24885,0,1
2,Payment,1704304343.960125,4118,0,1
3,OrderStatus,1704304343.964264,1505,0,1
2,Payment,1704304343.965824,3422,0,1
1,NewOrder,1704304343.969270,5111,0,1
2,Payment,1704304343.974404,3743,0,1
1,NewOrder,1704304343.978168,26240,0,1
2,Payment,1704304344.004656,4499,0,1
2,Payment,1704304344.009179,4134,0,1
3,OrderStatus,1704304344.013528,1279,0,1
2,Payment,1704304344.014824,3364,0,1
1,NewOrder,1704304344.018209,5091,0,1
1,NewOrder,1704304344.023323,34681,0,1
2,Payment,1704304344.058029,3735,0,1
1,NewOrder,1704304344.061787,7416,0,1
4,Delivery,1704304344.069226,30704,0,1
2,Payment,1704304344.099953,3356,0,1
3,OrderStatus,1704304344.103329,854,0,1
2,Payment,1704304344.104195,3445,0,1
1,NewOrder,1704304344.107660,5589,0,1
3,OrderStatus,1704304344.113271,883,0,1
1,NewOrder,1704304344.114186,23606,0,1
1,NewOrder,1704304344.137816,17012,0,1
2,Payment,1704304344.154852,4046,0,1
4,Delivery,1704304344.158921,52312,0,1
2,Payment,1704304344.211258,3657,0,1
1,NewOrder,1704304344.214935,33012,0,1
1,NewOrder,1704304344.247969,20323,0,1
1,NewOrder,1704304344.268315,9472,0,1
1,NewOrder,1704304344.277828,10991,0,1
5,StockLevel,1704304344.288843,1483,0,1
2,Payment,1704304344.290340,9660,0,1
